population,p_value,mean_responder,mean_non_responder,t_statistic
cd4_t_cell,0.008350925121947609,36.333333333333336,26.333333333333332,3.6342189215581566
monocyte,0.03350772741676288,8.0,22.666666666666668,-2.6382668510598264
